areaunit,empirical,estimate,adjusted_estimate,empirical_density,estimate_density,adjusted_estimate_density
513211,0.0026051358392259025,0.0023544417357641407,0.0023000063238753543,0.0041106105234188,0.003715043503713921,0.0036291505634735493
513213,0.0027291899268080885,0.0031319793336283762,0.0030595670150462416,0.003213793511836704,0.003688103478160503,0.003602833399537396
513301,0.004217838977794318,0.003736218996949576,0.0036498364728393966,0.0015517753393383832,0.0013745836510965707,0.0013428028573370901
513521,0.003721622627465575,0.003921592374144094,0.003830923960947122,0.002253497125779607,0.002374581742488797,0.002319680687494536
513631,0.004217838977794318,0.0051242840010922415,0.0050058089902234575,0.002440809627551632,0.002965357802899194,0.0028967978249874638
514000,0.0031013521895546458,0.0031681086878474316,0.003094861047563207,0.0030951621129417313,0.0031617853700501605,0.003088683926804312
514102,0.026919737005334326,0.008406735557866803,0.019010770208795734,0.02307428074855749,0.007205842181989422,0.01629510158130974
514103,0.01724351817392383,0.005879260897020154,0.012177405801947497,0.018625640132687554,0.006350502061677645,0.013153462995722504
514200,0.004838109415705247,0.0012015269325962128,0.001173747263013471,0.011189594476122453,0.002778895219741765,0.0027146463136912924
514700,0.004341893065376504,0.006882148124082274,0.006723030757904398,0.0017722236318268054,0.002809075525256745,0.002744128841326836
514801,0.005086217590869619,0.00442100271672016,0.0043187877839017015,0.0014219923904993375,0.0012360132277545964,0.0012074362244969758
515801,0.0013645949634040443,0.0027620500148441557,0.0026981905750748073,0.0012339189822986808,0.0024975513135947545,0.002439807164566244
515802,0.0013645949634040443,0.0025568797975024805,0.0024977639558093367,0.0014345983112047822,0.002688047030673815,0.002625898562496212
516001,0.0018608113137327876,0.001033778878251495,0.0010098775949091473,0.0020595857669285923,0.0011442085761651447,0.0011177541244859588
516101,0.0011164867882396724,0.00332174154626546,0.0032449418673809152,0.001220417052911288,0.0036309520821271365,0.0035470033612322064
516102,0.0012405408758218582,0.0034920348941283523,0.0034112979810400367,0.0007941387156580303,0.0022354443613306152,0.0021837602050760524
516601,0.0009924327006574866,0.0034625215973171125,0.003382467040663324,0.000923796780059469,0.0032230561330443886,0.0031485380910483284
516602,0.0008683786130753009,0.0034748995464438845,0.0033945588078265246,0.0006644903228920188,0.002659021176784325,0.0025975437952120506
517702,0.0024810817516437165,0.0037258388586316597,0.003639696326489094,0.0023502473590723038,0.003529364936091586,0.0034477649410338904
517703,0.002853244014390274,0.0024707618199911793,0.0024136370522352866,0.003989524450051341,0.0034547219380444733,0.0033748477118947903
519200,0.002853244014390274,0.004315288788490733,0.004215517993973995,0.002165972083508789,0.0032758484731796626,0.00320010985615888
519900,0.0062027043791092916,0.003782725764209936,0.0036952679894392795,0.00682657578796234,0.00416319439653274,0.004066940070801975
520301,0.0011164867882396724,0.0014295614426973948,0.0013965095456079542,0.0004665244806236918,0.0005973428585084976,0.0005835321092137474
520500,0.011785138320307654,0.005741529242033472,0.005608783332710654,0.001751987741347792,0.0008535401600929133,0.0008338060509525149
520601,0.007691353430095521,0.004928024712590847,0.004814087276402417,0.005095001094997658,0.0032644828423277978,0.003189007002162946
521201,0.0003721622627465575,0.0014735560055810077,0.0014394869407634136,5.0029115709899166e-05,0.00019808753140141146,0.00019350768718693183
522722,0.001984865401314973,0.0040053119030757115,0.003912707868805047,0.0014686633841910384,0.0029636543265929753,0.0028951337335736227
522920,0.002232973576479345,0.004721890678617729,0.004612719124240336,0.001482634546264701,0.003135208726850188,0.0030627217437106296
523110,0.0008683786130753009,0.002098257682963061,0.0020497453246040064,0.0007514204485657046,0.0018156524188854238,0.0017736739805288585
523112,0.0024810817516437165,4.6212207806595456e-05,4.514376745063745e-05,0.00045069213515944314,8.394515252465256e-06,8.200431496459146e-06
525620,0.002357027664061531,0.0019710983377228064,0.001925525942255386,0.003313983613733593,0.0027713665358576715,0.0027072916952775752
523113,0.00446594715295869,0.0037273517803448693,0.003641174268990305,0.001170087247689043,0.0009765737561276792,0.000953995072677126
523116,0.000744324525493115,0.0017234579856373275,0.0016836111107301692,0.000895140468014136,0.0020726671431981016,0.0020247464459328007
523912,0.003721622627465575,0.00475756531708434,0.004647568954171908,0.0007313630419841978,0.0009349436498645919,0.0009133274671831095
524001,0.0024810817516437165,0.0035663946465098358,0.00348393851323979,0.0007965373027441142,0.001144970886336166,0.001118498809813045
524122,0.008435677955588637,0.004478426273769369,0.004374883690776939,0.0089499906922152,0.00475147032366896,0.004641614878865472
524200,0.017739734524252575,0.006797157906200527,0.012527834745888432,0.0006282437913528965,0.00024071793450898066,0.0004436669775096935
524301,0.00831162386800645,0.006161656685659923,0.006019197301549347,0.004809595524053623,0.0035654977759734746,0.0034830623786240994
524302,0.007939461605259893,0.00566764404265082,0.005536606381699489,0.006227679856675754,0.004445675839762367,0.00434289045680493
524303,0.00595459620394492,0.005753424419863545,0.005620403490396956,0.003203273150523427,0.0030950528527030905,0.003023494285635906
524403,0.0026051358392259025,0.0027113064300693466,0.002648620197475173,0.003031310477062435,0.003154849533849306,0.0030819084492543637
524510,0.006326758466691477,0.004051795101282625,0.0039581163612751975,0.006699428088949732,0.004290460913769769,0.00419126414729808
524604,0.004838109415705247,0.00035290698260473906,0.0003447476654024032,0.00029535405614445134,2.1544057770924786e-05,2.1045952576516364e-05
524720,0.009055948393499566,0.006219559317415243,0.006075761206777199,0.0054963701769961855,0.003774866956048266,0.0036875908793220923
524811,0.004590001240540876,0.0040556733772284005,0.003961904970296827,0.003757158400266295,0.0033197828278134557,0.003243028435097641
524901,0.005334325766033991,0.004955943015807103,0.004841360099923114,0.0028648697812172254,0.002661654350738402,0.002600116089380237
525001,0.0062027043791092916,0.004679696011381334,0.004571500010595111,0.005006374799138626,0.00377711248949984,0.003689784495354565
525002,0.004217838977794318,0.0025460342440697995,0.0024871691548838427,0.0046915923619810455,0.0028320082572394845,0.002766531361543341
525530,0.003597568539883389,0.003274452295868512,0.003198745958893503,0.0026451399729814774,0.002407566266327068,0.0023519025990694337
525700,0.0033494603647190174,0.0025847800631910054,0.002525019158835451,0.0019375575372134715,0.0014952140190185456,0.0014606442143167333
517001,0.005582433941198363,0.004284046226380394,0.00418499776943995,0.0030995809856600733,0.0023786664320342957,0.0023236709377704324
522202,0.003225406277136832,0.004796732054774895,0.004685830144927008,0.002270229346307287,0.003376220215826425,0.0032981609734658948
522301,0.005086217590869619,0.003324053596693104,0.0032472004624966595,0.004714761346385557,0.0030812915749290587,0.003010051172806186
508610,0.001984865401314973,0.004031066810154018,0.0039378673145671235,0.001261039490458594,0.0025610474306789087,0.002501835232034087
522302,0.005086217590869619,0.00516981521271269,0.0050502875063277225,0.0034709338620757656,0.003527982506035669,0.0034464144731830085
522400,0.006698920729438035,0.004178254990428262,0.004081652459167695,0.006688169363422944,0.004171549141751912,0.004075101651760457
508620,0.00148864905098623,0.0030256179025066024,0.0029556646926907817,0.0011159379085996385,0.0022680978516111477,0.0022156587366901517
509702,0.004714055328123062,0.004661749128360524,0.004553968064990045,0.002325630294590832,0.002299825573539518,0.0022466529039990857
513012,0.00148864905098623,0.0019378516001447264,0.0018930478794024139,0.0014363602935846763,0.0018697846154292553,0.0018265546241586605
507800,0.004341893065376504,0.005834864344409406,0.005699960499018628,0.0024838934622682966,0.0033379867214772476,0.0032608114491811417
508210,0.002232973576479345,0.003710443917461225,0.0036246573210595556,0.0014988156876614151,0.002490522776560139,0.002432941129454119
